"FacilityCode","births","pregnancies","literacy","poverty","anc","pnc","sba","hiv_prev","hiv_count","condom","intercourse","in_union","circumcision","partner_away","partner_men","partner_women","sti","fb"
"22067",86.4898832067847,122.480717465281,0.563156237492273,0.908517909400603,0.393774816444365,0.208922743696277,0.696382618354539,6.23385953903198,154.501938343048,6.23385953903198,57.8771591186523,61.9946193695068,29.8113288879395,30.2897129058838,11.8067011833191,1.05681079626083,2.41776263713837,0.027407
"11701",140.362066984177,198.770607471466,0.605913167957999,0.598750061648233,0.391253208254008,0.205793702412372,0.685982970183328,10.4186954498291,45.936429977417,10.4186954498291,63.6703681945801,56.5852203369141,98.5834503173828,30.8619289398193,11.3134388923645,1.064677298069,7.2795991897583,28.9824524646465
"26816",138.16773223877,195.663149356842,0.605694255634096,0.596964420750737,0.391390054217921,0.205960847887417,0.686569602497472,10.4186954498291,45.936429977417,10.4186954498291,63.6703681945801,56.5852203369141,98.5834503173828,30.8619289398193,11.3134388923645,1.064677298069,7.2795991897583,28.9084874572864
"11771",5963.10700416565,8444.52099609375,0.844661471540206,0.220940925901936,0.4036631161695,0.221310920713149,0.736132794465774,16.61891746521,3500.6875,16.61891746521,61.6026382446289,52.5927658081055,96.965934753418,18.5983924865723,12.0634231567383,1.11159932613373,5.45872402191162,20.3876845503965
"18870",17746.8504936695,25131.8063278198,0.935779542723176,0.0538080520262676,0.404329180293739,0.222161166899577,0.738672081328116,16.373438835144,5774.7783203125,16.373438835144,61.5281047821045,52.6702480316162,96.5609512329102,19.1038074493408,12.3893046379089,1.16243606805801,5.30065107345581,24.8672793961277
"11816",11801.9084949493,16713.0090713501,0.871265931959626,0.11050988661591,0.404289377646314,0.222110017789183,0.738523390558031,16.1900806427002,6632.263671875,16.1900806427002,61.4878730773926,52.8383598327637,97.0761795043945,21.1577968597412,12.2751560211182,1.19500875473022,5.69282197952271,23.9644578120192
"11489",10654.0923843384,15087.55519104,0.901138195776014,0.122525260623159,0.40432648433672,0.222157661158305,0.738662372519086,16.5402717590332,7794.34228515625,16.5402717590332,60.572265625,52.7394905090332,96.3976364135742,19.4776000976562,12.4924049377441,1.20059955120087,5.28494548797607,28.7930037184112
"18099",11.113415107131,15.7380147874355,0.140111928470866,0.933340432065906,0.345259325492461,0.154019021632656,0.462435783929383,3.65977084636688,6.98285555839539,3.65977084636688,58.1557312011719,61.850622177124,39.0779190063477,23.6337995529175,10.4656114578247,0.772174954414368,2.09503197669983,10.3553517477693
"18312",379.668889045715,537.659623861313,0.895427932041301,0.338346443393014,0.397794877722759,0.213898386181201,0.713066593312577,21.4447612762451,226.463180541992,21.4447612762451,49.0550537109375,51.4592475891113,97.8853912353516,32.227710723877,9.52838325500488,1.14988219738007,3.70289826393127,4.96310472579828
"11278",0.375269840704277,0.531430010218173,0.748122046069547,0.492099589470661,0.352443382391502,0.161489155601425,0.499587343974763,14.3441886901855,0.101174756884575,14.3441886901855,52.7955322265625,53.6719703674316,98.9641342163086,31.2734184265137,9.49039459228516,1.30100584030151,3.4410126209259,3.269796
"12477",73.1758608818054,103.626363039017,0.733907372352598,0.612798862159252,0.40079966097167,0.217671911624144,0.725071045084032,14.2976608276367,25.2984046936035,14.2976608276367,62.6448097229004,53.6724967956543,99.6777954101562,34.6862602233887,11.1404819488525,1.5218493938446,3.6233115196228,3.6501076163522
"18171",45.3538227081299,64.2268042564392,0.880577127472746,0.403509343212301,0.400670785967722,0.217512033755165,0.724538848551619,17.7760829925537,18.6150188446045,17.7760829925537,55.0157127380371,54.2141914367676,99.507698059082,29.3747863769531,10.219762802124,1.36490368843079,3.28980088233948,3.61449066252588
"12308",98.065355181694,138.873063564301,0.88948427348693,0.392971490509808,0.400802784976927,0.21767587119059,0.725083204741414,17.6434726715088,37.6598510742188,17.6434726715088,54.5751457214355,53.4430809020996,99.5615997314453,30.0912113189697,10.2904253005981,1.38047707080841,3.30227947235107,3.72055393418941
"12208",315.399575710297,446.646072387695,0.752376302743954,0.371927979237893,0.400706912676493,0.21755522976319,0.724702245394389,15.2908267974854,120.198631286621,15.2908267974854,51.5580520629883,53.3957595825195,99.4888000488281,30.2199039459229,10.949592590332,1.37008607387543,3.2272207736969,4.24144037259343
"12191",138.86497426033,196.650533914566,0.914410776667308,0.40607001676279,0.400775650044282,0.217641602009535,0.724976476033529,19.387508392334,62.0740280151367,19.387508392334,58.6203918457031,52.7468032836914,99.7484359741211,34.2965469360352,11.0991630554199,1.49024617671967,3.50375390052795,2.70827752949062
"14650",551.869722157717,781.517987370491,0.794176794732806,0.257989835651482,0.40157161152969,0.218651586467937,0.728065221188432,18.1194753646851,90.8055286407471,18.1194753646851,69.7142639160156,59.4660320281982,96.6511383056641,16.6604452133179,15.2257995605469,1.69813501834869,3.25038123130798,12.6932876409588
